match_id,season,team1,team2,runs
336035,2007/08,Kolkata Knight Riders,Kings XI Punjab,349
1304097,2022,Mumbai Indians,Gujarat Titans,349
419110,2009/10,Chennai Super Kings,Deccan Chargers,349
1422119,2024,Royal Challengers Bengaluru,Chennai Super Kings,349
419144,2009/10,Kolkata Knight Riders,Delhi Daredevils,348
1216531,2020/21,Royal Challengers Bangalore,Kings XI Punjab,348
336003,2007/08,Kings XI Punjab,Kolkata Knight Riders,347
1426293,2024,Sunrisers Hyderabad,Mumbai Indians,347
336000,2007/08,Rajasthan Royals,Kolkata Knight Riders,347
548355,2012,Mumbai Indians,Chennai Super Kings,347
1178403,2019,Kings XI Punjab,Royal Challengers Bangalore,347
1359491,2023,Rajasthan Royals,Chennai Super Kings,347
1304070,2022,Gujarat Titans,Rajasthan Royals,347
1426310,2024,Royal Challengers Bengaluru,Rajasthan Royals,346
501222,2011,Kolkata Knight Riders,Royal Challengers Bangalore,346
1426284,2024,Chennai Super Kings,Sunrisers Hyderabad,346
981005,2016,Rising Pune Supergiants,Kings XI Punjab,345
981007,2016,Gujarat Lions,Mumbai Indians,345
1359490,2023,Delhi Capitals,Mumbai Indians,345
501211,2011,Chennai Super Kings,Royal Challengers Bangalore,345
1136614,2018,Sunrisers Hyderabad,Kolkata Knight Riders,345
1254114,2021,Delhi Capitals,Chennai Super Kings,345
980951,2016,Delhi Daredevils,Kolkata Knight Riders,345
1304077,2022,Royal Challengers Bangalore,Lucknow Super Giants,344
392188,2009,Royal Challengers Bangalore,Deccan Chargers,344
1304089,2022,Royal Challengers Bangalore,Gujarat Titans,344
1136577,2018,Chennai Super Kings,Rajasthan Royals,344
1254080,2021,Sunrisers Hyderabad,Chennai Super Kings,344
392210,2009,Kings XI Punjab,Rajasthan Royals,344
548367,2012,Royal Challengers Bangalore,Mumbai Indians,344
1175366,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,344
598037,2013,Mumbai Indians,Kings XI Punjab,344
598036,2013,Rajasthan Royals,Royal Challengers Bangalore,344
336013,2007/08,Chennai Super Kings,Kings XI Punjab,344
980945,2016,Delhi Daredevils,Gujarat Lions,343
335996,2007/08,Royal Challengers Bangalore,Chennai Super Kings,343
1237177,2020/21,Mumbai Indians,Delhi Capitals,343
1178430,2019,Chennai Super Kings,Kings XI Punjab,343
1178406,2019,Royal Challengers Bangalore,Mumbai Indians,343
1254081,2021,Rajasthan Royals,Mumbai Indians,343
829747,2015,Delhi Daredevils,Mumbai Indians,343
1082603,2017,Gujarat Lions,Rising Pune Supergiant,343
1254098,2021,Kolkata Knight Riders,Chennai Super Kings,343
1359479,2023,Mumbai Indians,Royal Challengers Bangalore,343
1175367,2019,Chennai Super Kings,Rajasthan Royals,342
734033,2014,Kings XI Punjab,Rajasthan Royals,342
501220,2011,Kings XI Punjab,Rajasthan Royals,342
1304059,2022,Rajasthan Royals,Royal Challengers Bangalore,342
1136592,2018,Delhi Daredevils,Rajasthan Royals,342
1359536,2023,Gujarat Titans,Sunrisers Hyderabad,342
1216508,2020/21,Mumbai Indians,Kolkata Knight Riders,341
980927,2016,Mumbai Indians,Royal Challengers Bangalore,341
336001,2007/08,Chennai Super Kings,Delhi Daredevils,341
1082601,2017,Kolkata Knight Riders,Kings XI Punjab,341
392191,2009,Royal Challengers Bangalore,Kings XI Punjab,341
1178426,2019,Mumbai Indians,Sunrisers Hyderabad,341
1359485,2023,Rajasthan Royals,Delhi Capitals,341
1254079,2021,Royal Challengers Bangalore,Delhi Capitals,341
734011,2014,Rajasthan Royals,Delhi Daredevils,340
1304075,2022,Chennai Super Kings,Gujarat Titans,339
1136587,2018,Chennai Super Kings,Mumbai Indians,339
1136607,2018,Mumbai Indians,Rajasthan Royals,339
548339,2012,Kings XI Punjab,Mumbai Indians,339
733973,2014,Mumbai Indians,Kings XI Punjab,338
829705,2015,Kolkata Knight Riders,Mumbai Indians,338
419135,2009/10,Kolkata Knight Riders,Deccan Chargers,338
1304113,2022,Gujarat Titans,Royal Challengers Bangalore,338
419114,2009/10,Delhi Daredevils,Mumbai Indians,338
829719,2015,Royal Challengers Bangalore,Sunrisers Hyderabad,338
1359521,2023,Kolkata Knight Riders,Sunrisers Hyderabad,337
392216,2009,Deccan Chargers,Kings XI Punjab,337
1136615,2018,Delhi Daredevils,Mumbai Indians,337
1426264,2024,Lucknow Super Giants,Delhi Capitals,337
829805,2015,Mumbai Indians,Kolkata Knight Riders,337
548363,2012,Kolkata Knight Riders,Mumbai Indians,337
1359476,2023,Punjab Kings,Kolkata Knight Riders,337
1082608,2017,Delhi Daredevils,Kolkata Knight Riders,337
419129,2009/10,Rajasthan Royals,Chennai Super Kings,337
1082644,2017,Kolkata Knight Riders,Mumbai Indians,337
1359477,2023,Lucknow Super Giants,Delhi Capitals,336
548379,2012,Chennai Super Kings,Mumbai Indians,336
829717,2015,Mumbai Indians,Kings XI Punjab,336
501232,2011,Royal Challengers Bangalore,Pune Warriors,336
336002,2007/08,Deccan Chargers,Royal Challengers Bangalore,336
548341,2012,Pune Warriors,Deccan Chargers,336
598070,2013,Chennai Super Kings,Mumbai Indians,336
1136581,2018,Mumbai Indians,Rajasthan Royals,335
598028,2013,Kings XI Punjab,Delhi Daredevils,335
419124,2009/10,Kings XI Punjab,Rajasthan Royals,335
829745,2015,Royal Challengers Bangalore,Chennai Super Kings,335
1136619,2018,Sunrisers Hyderabad,Kolkata Knight Riders,334
1216503,2020/21,Mumbai Indians,Kings XI Punjab,334
1136561,2018,Mumbai Indians,Chennai Super Kings,334
1422133,2024,Lucknow Super Giants,Royal Challengers Bengaluru,334
392223,2009,Deccan Chargers,Delhi Daredevils,334
598072,2013,Mumbai Indians,Rajasthan Royals,334
419117,2009/10,Deccan Chargers,Kings XI Punjab,334
501253,2011,Chennai Super Kings,Delhi Daredevils,334
829723,2015,Kolkata Knight Riders,Chennai Super Kings,334
829725,2015,Kings XI Punjab,Delhi Daredevils,334
335987,2007/08,Rajasthan Royals,Kings XI Punjab,334
392196,2009,Chennai Super Kings,Deccan Chargers,334
1359478,2023,Rajasthan Royals,Sunrisers Hyderabad,334
1216519,2020/21,Delhi Capitals,Royal Challengers Bangalore,333
729289,2014,Kolkata Knight Riders,Delhi Daredevils,333
1254086,2021,Punjab Kings,Delhi Capitals,333
1254077,2021,Delhi Capitals,Sunrisers Hyderabad,333
1136562,2018,Delhi Daredevils,Kings XI Punjab,333
392190,2009,Kolkata Knight Riders,Rajasthan Royals,333
548344,2012,Kolkata Knight Riders,Royal Challengers Bangalore,333
1254102,2021,Kolkata Knight Riders,Punjab Kings,333
419162,2009/10,Royal Challengers Bangalore,Mumbai Indians,333
1216542,2020/21,Sunrisers Hyderabad,Kings XI Punjab,333
598061,2013,Kolkata Knight Riders,Pune Warriors,333
1304095,2022,Royal Challengers Bangalore,Chennai Super Kings,333
1426295,2024,Lucknow Super Giants,Sunrisers Hyderabad,332
980993,2016,Mumbai Indians,Delhi Daredevils,332
1304109,2022,Rajasthan Royals,Lucknow Super Giants,332
419120,2009/10,Deccan Chargers,Delhi Daredevils,332
548336,2012,Rajasthan Royals,Royal Challengers Bangalore,332
335985,2007/08,Mumbai Indians,Royal Challengers Bangalore,331
336024,2007/08,Deccan Chargers,Mumbai Indians,331
1216546,2020/21,Delhi Capitals,Kings XI Punjab,331
392235,2009,Delhi Daredevils,Mumbai Indians,331
335999,2007/08,Deccan Chargers,Kings XI Punjab,331
1216512,2020/21,Kolkata Knight Riders,Sunrisers Hyderabad,331
598012,2013,Chennai Super Kings,Royal Challengers Bangalore,331
980999,2016,Royal Challengers Bangalore,Kings XI Punjab,331
1254100,2021,Rajasthan Royals,Sunrisers Hyderabad,331
1422136,2024,Chennai Super Kings,Sunrisers Hyderabad,331
419140,2009/10,Delhi Daredevils,Royal Challengers Bangalore,331
501212,2011,Deccan Chargers,Kings XI Punjab,331
734031,2014,Mumbai Indians,Delhi Daredevils,331
734017,2014,Rajasthan Royals,Mumbai Indians,331
548324,2012,Royal Challengers Bangalore,Rajasthan Royals,331
1254069,2021,Chennai Super Kings,Rajasthan Royals,331
598033,2013,Mumbai Indians,Royal Challengers Bangalore,330
1216499,2020/21,Royal Challengers Bangalore,Mumbai Indians,330
829731,2015,Sunrisers Hyderabad,Delhi Daredevils,330
1422130,2024,Sunrisers Hyderabad,Gujarat Titans,330
1422123,2024,Gujarat Titans,Mumbai Indians,330
733979,2014,Rajasthan Royals,Kolkata Knight Riders,330
1254101,2021,Delhi Capitals,Royal Challengers Bangalore,330
1304067,2022,Gujarat Titans,Sunrisers Hyderabad,330
598017,2013,Royal Challengers Bangalore,Delhi Daredevils,330
829721,2015,Rajasthan Royals,Mumbai Indians,329
1082642,2017,Delhi Daredevils,Rising Pune Supergiant,329
501249,2011,Rajasthan Royals,Chennai Super Kings,329
336023,2007/08,Rajasthan Royals,Royal Challengers Bangalore,329
829761,2015,Kolkata Knight Riders,Delhi Daredevils,329
1136573,2018,Kolkata Knight Riders,Delhi Daredevils,329
734019,2014,Delhi Daredevils,Kings XI Punjab,329
729317,2014,Mumbai Indians,Sunrisers Hyderabad,329
